graph_id,nodes_count,edges_count,selected_footway_length,total_length,highway_types,selected_footway_coords
90,10,9,0.0005007160090303273,0.0042076783443644765,"{'footway': 7, 'secondary': 2}","[(118.76296518, 32.03449979), (118.76294502, 32.03399948)]"
91,13,13,0.00042276023523463065,0.0031768323708673937,"{'tertiary': 6, 'footway': 7}","[(118.83565368, 32.03719835), (118.83524274, 32.03729762)]"
92,11,10,0.00017006000000208132,0.0010983100945449284,{'footway': 10},"[(118.82629332, 32.052195), (118.82629332, 32.05236506)]"
93,15,14,0.00015030024251615613,0.002754098584542967,{'footway': 14},"[(118.83069162, 32.0584442), (118.83084192, 32.05844447)]"
94,11,10,0.0001282577050230365,0.0008569825419901039,{'footway': 10},"[(118.82960046, 32.04614957), (118.82952036, 32.0460494)]"
95,9,8,0.0001999800062556096,0.0015149096379622091,{'footway': 8},"[(118.78145874, 31.99590131), (118.78125876, 31.99590126)]"
96,20,22,0.00027018809448261534,0.005638763441110396,"{'tertiary': 13, 'footway': 9}","[(118.78340688, 31.94445231), (118.7833968, 31.94472231)]"
97,8,7,0.00014211705738660852,0.0008963379249288153,{'footway': 7},"[(118.86081084, 32.06169779), (118.86072066, 32.06180763)]"
98,15,14,0.0002021870599239386,0.004979047957101788,"{'secondary': 7, 'footway': 7}","[(118.74504384, 32.06092752), (118.74501378, 32.06112746)]"
99,7,6,0.0007510930052305999,0.0025756575752828386,{'footway': 6},"[(118.84709826, 32.02673666), (118.84705794, 32.02748667)]"
100,8,7,0.00027032326278190745,0.0012041668607628685,{'footway': 7},"[(118.83101922, 32.08309956), (118.8308088, 32.08326926)]"
